[2026-06-04 00:42:57.195] FAILED | Snorlax Lv14 | great_ball 1.5x | baseCR=25 modCR=19.6 | HP=71.4% | status=none 1.0x | turn=3
[2026-06-04 02:13:28.124] FAILED | Primeape Lv25 | ancient_azure_ball 1.0x | baseCR=75 modCR=56.3 | HP=37.3% | status=none 1.0x | turn=4
[2026-06-04 02:13:49.266] CAUGHT | Primeape Lv25 | slate_ball 1.0x | baseCR=75 modCR=56.3 | HP=37.3% | status=none 1.0x | turn=6
[2026-06-04 02:32:25.860] CAUGHT | Mankey Lv7 | slate_ball 1.0x | baseCR=190 modCR=126.7 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-04 21:46:09.322] CAUGHT | Sentret Lv1 | citrine_ball 1.0x | baseCR=255 modCR=255.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-04 23:09:29.583] CAUGHT | Rowlet Lv17 | quick_ball 1.0x | baseCR=45 modCR=15.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-04 23:27:37.127] FAILED | Pidgey Lv20 | poke_ball 1.0x | baseCR=255 modCR=185.0 | HP=41.2% | status=none 1.0x | turn=2
[2026-06-04 23:27:53.141] CAUGHT | Pidgey Lv20 | poke_ball 1.0x | baseCR=255 modCR=185.0 | HP=41.2% | status=none 1.0x | turn=3
[2026-06-04 23:40:38.250] FAILED | Cyndaquil Lv20 | love_ball 2.5x | baseCR=45 modCR=69.4 | HP=57.4% | status=none 1.0x | turn=3
[2026-06-04 23:41:04.646] FAILED | Cyndaquil Lv20 | premier_ball 1.0x | baseCR=45 modCR=27.8 | HP=57.4% | status=none 1.0x | turn=5
[2026-06-04 23:41:31.094] FAILED | Cyndaquil Lv20 | poke_ball 1.0x | baseCR=45 modCR=52.2 | HP=34.0% | status=paralysis 1.5x | turn=7
[2026-06-04 23:41:45.149] FAILED | Cyndaquil Lv20 | poke_ball 1.0x | baseCR=45 modCR=52.2 | HP=34.0% | status=paralysis 1.5x | turn=8
[2026-06-04 23:42:01.343] CAUGHT | Cyndaquil Lv20 | poke_ball 1.0x | baseCR=45 modCR=52.2 | HP=34.0% | status=paralysis 1.5x | turn=9
[2026-06-05 00:05:21.005] FAILED | Porygon Lv16 | poke_ball 1.0x | baseCR=45 modCR=37.2 | HP=26.0% | status=none 1.0x | turn=2
[2026-06-05 00:05:34.743] FAILED | Porygon Lv16 | poke_ball 1.0x | baseCR=45 modCR=37.2 | HP=26.0% | status=none 1.0x | turn=3
[2026-06-05 00:06:57.345] FAILED | Porygon2 Lv27 | poke_ball 1.0x | baseCR=45 modCR=38.7 | HP=20.9% | status=none 1.0x | turn=7
[2026-06-05 00:07:10.362] FAILED | Porygon2 Lv27 | poke_ball 1.0x | baseCR=45 modCR=38.7 | HP=20.9% | status=none 1.0x | turn=8
[2026-06-05 00:07:25.303] CAUGHT | Porygon2 Lv27 | poke_ball 1.0x | baseCR=45 modCR=38.7 | HP=20.9% | status=none 1.0x | turn=9
[2026-06-05 00:13:52.135] FAILED | Darumaka Lv35 | poke_ball 1.0x | baseCR=120 modCR=58.8 | HP=76.5% | status=none 1.0x | turn=5
[2026-06-05 00:14:15.577] CAUGHT | Darumaka Lv35 | poke_ball 1.0x | baseCR=120 modCR=58.8 | HP=76.5% | status=none 1.0x | turn=7
[2026-06-05 01:28:14.573] CAUGHT | Larvitar Lv17 | great_ball 1.5x | baseCR=45 modCR=25.6 | HP=93.2% | status=none 1.0x | turn=3
[2026-06-05 01:58:24.559] FAILED | Mankey Lv12 | slate_ball 1.0x | baseCR=190 modCR=153.8 | HP=28.6% | status=none 1.0x | turn=3
[2026-06-05 01:58:36.251] FAILED | Mankey Lv12 | slate_ball 1.0x | baseCR=190 modCR=153.8 | HP=28.6% | status=none 1.0x | turn=4
[2026-06-05 01:58:52.803] FAILED | Mankey Lv12 | slate_ball 1.0x | baseCR=190 modCR=153.8 | HP=28.6% | status=none 1.0x | turn=6
[2026-06-05 01:59:04.517] FAILED | Mankey Lv12 | slate_ball 1.0x | baseCR=190 modCR=153.8 | HP=28.6% | status=none 1.0x | turn=7
[2026-06-05 01:59:22.443] FAILED | Mankey Lv12 | poke_ball 1.0x | baseCR=190 modCR=153.8 | HP=28.6% | status=none 1.0x | turn=8
[2026-06-05 01:59:37.241] FAILED | Mankey Lv12 | poke_ball 1.0x | baseCR=190 modCR=153.8 | HP=28.6% | status=none 1.0x | turn=9
[2026-06-05 01:59:49.042] FAILED | Mankey Lv12 | poke_ball 1.0x | baseCR=190 modCR=153.8 | HP=28.6% | status=none 1.0x | turn=10
[2026-06-05 02:00:00.338] FAILED | Mankey Lv12 | poke_ball 1.0x | baseCR=190 modCR=153.8 | HP=28.6% | status=none 1.0x | turn=11
[2026-06-05 02:00:11.593] FAILED | Mankey Lv12 | poke_ball 1.0x | baseCR=190 modCR=153.8 | HP=28.6% | status=none 1.0x | turn=12
[2026-06-05 02:00:25.437] FAILED | Mankey Lv12 | poke_ball 1.0x | baseCR=190 modCR=153.8 | HP=28.6% | status=none 1.0x | turn=13
[2026-06-05 02:00:39.188] FAILED | Mankey Lv12 | poke_ball 1.0x | baseCR=190 modCR=153.8 | HP=28.6% | status=none 1.0x | turn=14
[2026-06-05 02:00:57.892] FAILED | Mankey Lv12 | poke_ball 1.0x | baseCR=190 modCR=153.8 | HP=28.6% | status=none 1.0x | turn=15
[2026-06-05 02:01:11.540] FAILED | Mankey Lv12 | poke_ball 1.0x | baseCR=190 modCR=153.8 | HP=28.6% | status=none 1.0x | turn=16
[2026-06-05 02:01:24.485] FAILED | Mankey Lv12 | poke_ball 1.0x | baseCR=190 modCR=153.8 | HP=28.6% | status=none 1.0x | turn=17
[2026-06-05 02:02:06.138] FAILED | Mankey Lv12 | park_ball 1.0x | baseCR=190 modCR=153.8 | HP=28.6% | status=none 1.0x | turn=18
[2026-06-05 02:02:17.236] FAILED GUARANTEED | Mankey Lv12 | repeat_ball 3.5x | baseCR=190 modCR=538.3 | HP=28.6% | status=none 1.0x | turn=19
[2026-06-05 02:02:17.245] FAILED GUARANTEED | Mankey Lv12 | repeat_ball 3.5x | baseCR=190 modCR=538.3 | HP=28.6% | status=none 1.0x | turn=19
[2026-06-05 02:02:42.087] FAILED | Mankey Lv12 | dream_ball 1.0x | baseCR=190 modCR=153.8 | HP=28.6% | status=none 1.0x | turn=20
[2026-06-05 02:02:54.739] FAILED | Mankey Lv12 | heavy_ball 1.0x | baseCR=190 modCR=153.8 | HP=28.6% | status=none 1.0x | turn=21
[2026-06-05 02:03:23.229] CAUGHT GUARANTEED | Mankey Lv12 | ultra_ball 2.0x | baseCR=190 modCR=307.6 | HP=28.6% | status=none 1.0x | turn=22
[2026-06-05 02:44:18.516] CAUGHT | Onix Lv16 | quick_ball 1.0x | baseCR=45 modCR=37.5 | HP=100.0% | status=sleep 2.5x | turn=1
[2026-06-05 17:12:39.649] CAUGHT | Sprigatito Lv6 | quick_ball 1.0x | baseCR=45 modCR=30.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-05 17:56:06.323] FAILED | Rowlet Lv24 | quick_ball 1.0x | baseCR=45 modCR=15.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-05 17:56:30.266] FAILED | Rowlet Lv24 | ancient_ultra_ball 2.0x | baseCR=45 modCR=45.7 | HP=73.9% | status=none 1.0x | turn=3
[2026-06-05 17:56:59.511] CAUGHT | Rowlet Lv24 | ancient_ultra_ball 2.0x | baseCR=45 modCR=79.6 | HP=17.4% | status=none 1.0x | turn=6
[2026-06-05 18:12:37.931] CAUGHT | Ludicolo Lv35 | quick_ball 1.0x | baseCR=45 modCR=15.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-05 18:39:01.171] CAUGHT | Growlithe Lv23 | quick_ball 1.0x | baseCR=190 modCR=63.3 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-05 18:39:28.543] FAILED | Pinsir Lv26 | quick_ball 1.0x | baseCR=45 modCR=15.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-05 18:39:59.482] FAILED | Pinsir Lv26 | quick_ball 1.0x | baseCR=45 modCR=15.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-05 18:41:07.470] CAUGHT | Pinsir Lv26 | premier_ball 1.0x | baseCR=45 modCR=26.8 | HP=60.6% | status=none 1.0x | turn=6
[2026-06-05 18:41:48.631] CAUGHT | Growlithe Lv14 | quick_ball 1.0x | baseCR=190 modCR=63.3 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-05 18:44:24.932] CAUGHT | Basculin Lv38 | quick_ball 1.0x | baseCR=190 modCR=63.3 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-05 19:09:55.439] FAILED | Quilava Lv35 | quick_ball 1.0x | baseCR=45 modCR=15.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-05 19:10:19.403] FAILED | Quilava Lv35 | quick_ball 1.0x | baseCR=45 modCR=15.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-05 19:10:40.237] FAILED | Quilava Lv35 | quick_ball 1.0x | baseCR=45 modCR=15.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-05 19:11:29.682] FAILED | Quilava Lv35 | quick_ball 1.0x | baseCR=45 modCR=15.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-05 19:12:15.552] FAILED | Quilava Lv35 | ultra_ball 2.0x | baseCR=45 modCR=42.5 | HP=79.1% | status=none 1.0x | turn=4
[2026-06-05 19:12:45.836] FAILED | Quilava Lv35 | ultra_ball 2.0x | baseCR=45 modCR=42.5 | HP=79.1% | status=none 1.0x | turn=5
[2026-06-05 19:13:27.601] CAUGHT | Quilava Lv35 | ultra_ball 2.0x | baseCR=45 modCR=71.5 | HP=30.8% | status=none 1.0x | turn=10
[2026-06-06 15:48:27.540] CAUGHT | Tinkatink Lv6 | quick_ball 1.0x | baseCR=190 modCR=126.7 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-06 16:04:13.360] CAUGHT | Honedge Lv33 | quick_ball 1.0x | baseCR=180 modCR=60.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-06 16:19:25.684] FAILED | Deino Lv18 | quick_ball 1.0x | baseCR=45 modCR=15.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-06 16:19:50.977] CAUGHT | Deino Lv15 | quick_ball 1.0x | baseCR=45 modCR=15.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-06 22:17:21.131] FAILED | Duraludon Lv39 | quick_ball 1.0x | baseCR=45 modCR=15.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-06 22:17:45.040] FAILED | Duraludon Lv39 | quick_ball 1.0x | baseCR=45 modCR=15.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-06 22:18:10.509] CAUGHT | Duraludon Lv39 | quick_ball 1.0x | baseCR=45 modCR=15.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-07 00:34:28.630] CAUGHT | Venipede Lv20 | quick_ball 1.0x | baseCR=255 modCR=85.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-07 02:01:38.569] FAILED | Larvesta Lv28 | quick_ball 1.0x | baseCR=45 modCR=15.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-07 02:02:11.946] FAILED | Larvesta Lv28 | quick_ball 1.0x | baseCR=45 modCR=15.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-07 02:02:45.192] FAILED | Larvesta Lv28 | quick_ball 1.0x | baseCR=45 modCR=15.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-07 02:03:03.823] FAILED | Larvesta Lv28 | quick_ball 1.0x | baseCR=45 modCR=15.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-07 02:03:24.545] FAILED | Larvesta Lv28 | quick_ball 1.0x | baseCR=45 modCR=15.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-07 02:03:51.045] FAILED | Larvesta Lv28 | quick_ball 1.0x | baseCR=45 modCR=15.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-07 02:04:14.643] CAUGHT | Larvesta Lv28 | quick_ball 1.0x | baseCR=45 modCR=15.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-07 23:59:08.816] CAUGHT | Gorebyss Lv59 | quick_ball 1.0x | baseCR=60 modCR=20.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-08 17:10:42.431] FAILED | Krookodile Lv50 | quick_ball 1.0x | baseCR=45 modCR=15.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-08 17:11:07.947] FAILED | Krookodile Lv50 | quick_ball 1.0x | baseCR=45 modCR=15.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-08 17:11:29.128] FAILED | Krookodile Lv50 | quick_ball 1.0x | baseCR=45 modCR=15.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-08 17:11:56.749] FAILED | Krookodile Lv50 | quick_ball 1.0x | baseCR=45 modCR=15.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-08 17:12:23.066] FAILED | Krookodile Lv50 | quick_ball 1.0x | baseCR=45 modCR=15.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-08 17:12:52.041] FAILED | Krookodile Lv50 | quick_ball 1.0x | baseCR=45 modCR=15.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-08 17:13:19.338] FAILED | Krookodile Lv50 | quick_ball 1.0x | baseCR=45 modCR=37.5 | HP=100.0% | status=sleep 2.5x | turn=1
[2026-06-08 17:14:18.141] FAILED | Krookodile Lv50 | quick_ball 1.0x | baseCR=45 modCR=15.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-08 17:15:01.092] FAILED | Krookodile Lv50 | quick_ball 1.0x | baseCR=45 modCR=15.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-08 18:12:47.264] FAILED | Wartortle Lv33 | quick_ball 1.0x | baseCR=45 modCR=15.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-08 18:13:11.353] FAILED | Wartortle Lv33 | ultra_ball 2.0x | baseCR=45 modCR=66.9 | HP=38.6% | status=none 1.0x | turn=3
[2026-06-08 18:13:25.066] FAILED | Wartortle Lv33 | ultra_ball 2.0x | baseCR=45 modCR=66.9 | HP=38.6% | status=none 1.0x | turn=4
[2026-06-08 18:13:53.053] FAILED | Wartortle Lv33 | ultra_ball 2.0x | baseCR=45 modCR=66.9 | HP=38.6% | status=none 1.0x | turn=6
[2026-06-08 18:14:10.524] CAUGHT | Wartortle Lv33 | ultra_ball 2.0x | baseCR=45 modCR=66.9 | HP=38.6% | status=none 1.0x | turn=7
[2026-06-09 15:53:07.806] CAUGHT | Misdreavus Lv36 | quick_ball 1.0x | baseCR=45 modCR=15.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-09 16:10:06.020] CAUGHT | Sewaddle Lv11 | quick_ball 1.0x | baseCR=255 modCR=85.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-09 16:10:24.925] CAUGHT | Zigzagoon Lv23 | quick_ball 1.0x | baseCR=255 modCR=85.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-09 16:36:55.749] CAUGHT | Shroomish Lv19 | quick_ball 1.0x | baseCR=255 modCR=85.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-09 16:37:45.929] CAUGHT | Kricketot Lv5 | quick_ball 1.0x | baseCR=255 modCR=170.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-09 16:38:18.392] CAUGHT | Klink Lv10 | quick_ball 1.0x | baseCR=130 modCR=43.3 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-09 16:38:49.980] CAUGHT | Magnemite Lv25 | quick_ball 1.0x | baseCR=190 modCR=63.3 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-09 16:39:08.877] CAUGHT | Pineco Lv12 | quick_ball 1.0x | baseCR=190 modCR=63.3 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-09 16:39:31.728] CAUGHT | Bunnelby Lv21 | quick_ball 1.0x | baseCR=255 modCR=212.5 | HP=100.0% | status=sleep 2.5x | turn=1
[2026-06-09 16:40:39.177] CAUGHT | Seedot Lv5 | quick_ball 1.0x | baseCR=255 modCR=170.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-09 16:41:03.043] FAILED | Linoone Lv23 | quick_ball 1.0x | baseCR=90 modCR=30.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-09 16:41:24.508] CAUGHT | Cherubi Lv12 | quick_ball 1.0x | baseCR=190 modCR=63.3 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-09 16:41:39.423] CAUGHT | Linoone Lv23 | quick_ball 1.0x | baseCR=90 modCR=30.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-09 16:42:28.526] CAUGHT | Hoothoot Lv12 | quick_ball 1.0x | baseCR=255 modCR=85.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-09 16:42:53.434] CAUGHT | Silcoon Lv8 | quick_ball 1.0x | baseCR=120 modCR=80.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-09 17:03:31.581] FAILED | Cofagrigus Lv54 | quick_ball 1.0x | baseCR=90 modCR=30.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-09 17:03:57.847] FAILED | Cofagrigus Lv54 | quick_ball 1.0x | baseCR=90 modCR=30.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-09 17:05:26.943] FAILED | Absol Lv37 | quick_ball 1.0x | baseCR=30 modCR=10.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-09 17:05:46.189] CAUGHT | Corvisquire Lv27 | quick_ball 1.0x | baseCR=120 modCR=40.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-09 17:06:07.985] FAILED | Absol Lv37 | ultra_ball 2.0x | baseCR=30 modCR=20.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-09 17:06:56.827] FAILED | Absol Lv37 | ultra_ball 2.0x | baseCR=30 modCR=40.2 | HP=49.5% | status=none 1.0x | turn=4
[2026-06-09 17:07:18.756] FAILED | Absol Lv37 | ultra_ball 2.0x | baseCR=30 modCR=40.2 | HP=49.5% | status=none 1.0x | turn=6
[2026-06-09 17:07:56.617] FAILED | Absol Lv37 | ultra_ball 2.0x | baseCR=30 modCR=49.3 | HP=26.8% | status=none 1.0x | turn=10
[2026-06-09 17:08:16.367] CAUGHT | Absol Lv37 | ultra_ball 2.0x | baseCR=30 modCR=49.3 | HP=26.8% | status=none 1.0x | turn=12
[2026-06-09 17:08:54.738] FAILED | Wormadam Lv15 | ultra_ball 2.0x | baseCR=45 modCR=30.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-09 17:09:12.000] FAILED | Wormadam Lv15 | ultra_ball 2.0x | baseCR=45 modCR=30.0 | HP=100.0% | status=none 1.0x | turn=2
[2026-06-09 17:09:29.009] FAILED | Wormadam Lv15 | ultra_ball 2.0x | baseCR=45 modCR=30.0 | HP=100.0% | status=none 1.0x | turn=3
[2026-06-09 17:09:42.702] FAILED | Wormadam Lv15 | ultra_ball 2.0x | baseCR=45 modCR=30.0 | HP=100.0% | status=none 1.0x | turn=4
[2026-06-09 17:09:58.513] FAILED | Wormadam Lv15 | ultra_ball 2.0x | baseCR=45 modCR=30.0 | HP=100.0% | status=none 1.0x | turn=5
[2026-06-09 17:10:16.988] CAUGHT | Wormadam Lv15 | ultra_ball 2.0x | baseCR=45 modCR=30.0 | HP=100.0% | status=none 1.0x | turn=6
[2026-06-09 17:36:38.685] CAUGHT | Rotom Lv1 | quick_ball 1.0x | baseCR=45 modCR=45.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-09 19:22:47.736] CAUGHT GUARANTEED | Suicune Lv60 | ancient_origin_ball 255.0x | baseCR=3 modCR=255.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-09 21:01:45.205] CAUGHT | Starly Lv3 | quick_ball 1.0x | baseCR=255 modCR=255.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-09 21:06:19.962] CAUGHT | Pachirisu Lv16 | quick_ball 1.0x | baseCR=200 modCR=66.7 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-09 21:06:45.591] CAUGHT | Teddiursa Lv28 | quick_ball 1.0x | baseCR=120 modCR=100.0 | HP=100.0% | status=sleep 2.5x | turn=1
[2026-06-09 21:07:40.582] CAUGHT | Chewtle Lv11 | quick_ball 1.0x | baseCR=255 modCR=85.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-09 21:08:03.207] CAUGHT GUARANTEED | Flabebe Lv6 | quick_ball 1.0x | baseCR=225 modCR=375.0 | HP=100.0% | status=sleep 2.5x | turn=1
[2026-06-09 21:08:43.785] FAILED | Spiritomb Lv52 | quick_ball 1.0x | baseCR=100 modCR=33.3 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-09 21:09:03.676] FAILED | Spiritomb Lv52 | quick_ball 1.0x | baseCR=100 modCR=33.3 | HP=100.0% | status=none 1.0x | turn=2
[2026-06-09 21:09:33.487] FAILED | Spiritomb Lv52 | quick_ball 1.0x | baseCR=100 modCR=33.3 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-09 21:10:01.359] CAUGHT | Spiritomb Lv52 | quick_ball 1.0x | baseCR=100 modCR=33.3 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-09 21:10:29.569] CAUGHT | Vulpix Lv22 | quick_ball 1.0x | baseCR=190 modCR=63.3 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-09 21:10:47.859] CAUGHT | Nickit Lv18 | quick_ball 1.0x | baseCR=255 modCR=85.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-09 21:11:40.329] CAUGHT | Budew Lv9 | quick_ball 1.0x | baseCR=255 modCR=212.5 | HP=100.0% | status=sleep 2.5x | turn=1
[2026-06-09 21:12:27.844] CAUGHT | Nymble Lv15 | quick_ball 1.0x | baseCR=190 modCR=63.3 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-09 21:13:03.650] CAUGHT | Combee Lv15 | quick_ball 1.0x | baseCR=120 modCR=40.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-09 21:13:32.094] CAUGHT | Blipbug Lv10 | quick_ball 1.0x | baseCR=255 modCR=85.0 | HP=100.0% | status=none 1.0x | turn=1
[2026-06-09 21:14:31.899] CAUGHT | Tarountula Lv2 | quick_ball 1.0x | baseCR=255 modCR=255.0 | HP=100.0% | status=none 1.0x | turn=1
